id,timestamp,image_path,predicted_class,predicted_label,confidence,status,missing_items,corrected_class,corrected_label,notes,face_count,training_candidate,exported_for_training,created_at,workplace_id,model_version,device_id,detected_hamer,detected_schaar,detected_sleutel,total_detections,model_type
231,20251222_215021,uploads\inspect_20251222_215021.jpg,5,NOK - Sleutel weg,0.7230053544044495,NOK,"[""sleutel""]",,,,0,0,0,2025-12-22 20:50:22,2,,iPhone - iOS 18.7 - Safari,0,0,0,0,classification
230,20251222_214945,uploads\inspect_20251222_214945.jpg,0,OK,0.9923624992370605,OK,[],,,,0,0,0,2025-12-22 20:49:45,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
229,20251222_214912,uploads\inspect_20251222_214912.jpg,0,OK,0.9751206636428833,OK,[],,,,0,0,0,2025-12-22 20:49:12,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
228,20251222_214842,uploads\inspect_20251222_214842.jpg,5,NOK - Sleutel weg,0.8845584988594055,NOK,"[""sleutel""]",,,,0,0,0,2025-12-22 20:48:42,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
227,20251222_214657,uploads\inspect_20251222_214657.jpg,5,NOK - Sleutel weg,0.9340859055519104,NOK,"[""sleutel""]",,,,0,0,0,2025-12-22 20:46:57,2,,Linux - Chrome,0,0,0,0,classification
226,20251222_214627,uploads\inspect_20251222_214627.jpg,5,NOK - Sleutel weg,0.8784533739089966,NOK,"[""sleutel""]",,,,0,0,0,2025-12-22 20:46:27,2,,Linux - Chrome,0,0,0,0,classification
225,20251222_214515,uploads\inspect_20251222_214515.jpg,5,NOK - Sleutel weg,0.779650092124939,NOK,"[""sleutel""]",,,,0,0,0,2025-12-22 20:45:15,2,,iPhone - iOS 18.7 - Safari,0,0,0,0,classification
224,20251222_214430,uploads\inspect_20251222_214430.jpg,5,NOK - Sleutel weg,0.7404744029045105,NOK,"[""sleutel""]",,,,0,0,0,2025-12-22 20:44:30,2,,iPhone - iOS 18.7 - Safari,0,0,0,0,classification
223,20251222_214335,uploads\inspect_20251222_214335.jpg,5,NOK - Sleutel weg,0.5232476592063904,NOK,"[""sleutel""]",,,,0,0,0,2025-12-22 20:43:35,2,,iPhone - iOS 18.7 - Safari,0,0,0,0,classification
222,20251222_214215,uploads\inspect_20251222_214215.jpg,0,OK,0.9741962552070618,OK,[],,,,0,0,0,2025-12-22 20:42:15,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
221,20251222_214150,uploads\inspect_20251222_214150.jpg,0,OK,0.9396329522132874,OK,[],,,,0,0,0,2025-12-22 20:41:50,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
220,20251222_214120,uploads\inspect_20251222_214120.jpg,0,OK,0.9681928753852844,OK,[],,,,0,0,0,2025-12-22 20:41:20,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
219,20251222_214049,uploads\inspect_20251222_214049.jpg,3,NOK - Schaar weg,0.9576713442802429,NOK,"[""schaar""]",,,,0,0,0,2025-12-22 20:40:49,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
